principal_name_En,nationality,city,agency_type,status,activity,date
Quam srl,ايطالي,الدمام,وكالة تجارية,قائمة,"
منتجات الموكل من صمامات  مختلفة الاحجام والمقاسات للاستخدامات البترولية",2020
Baicon sdn . nhd,ماليزي,الدمام,وكالة توزيع,قائمة,"( منتجات الموكل من الادوية الصيدلانية ( أنسولين جلارجين ) وفق العقد )
",2020
Skin jam general trading,اماراتي,الدمام,وكالة امتياز,قائمة,"(فتح وتشغيل محلات لبيع الآيس كريم, القهوة, الشاء, السكر, الأرز, التابيوكا, الطحين, المعجنات, الحلويات, .....إلخ بالعلامة التجارية (Gelato Divino).",2020
Epygen labs fz -llc,اماراتي,الدمام,وكالة تجارية,قائمة,(منتجات الموكل من الأنزيمات الكيميائية الخاصة بصناعة النفط والغاز),2020
Cazador tekstil san ve tic as,تركي,الدمام,وكالة تجارية,قائمة,"(منتجات الموكل من المنسوجات والملابس والاحذية التي تحمل العلامة التجارية "" CِAZADOR "" 
",2020
Shandong dongxin chemical industrial co ltd,الصين الشعبيه,الدمام,وكالة تجارية,قائمة,بروميد الكالسيوم وبروميد الصوديوم وبروميد الزنك وسائل مختلط وكلوريد الكالسيوم,2020
Pt madani lestari,اندونيسي,الدمام,وكالة تجارية,قائمة,بيع منتجات الموكل من المواد الكيميائية الخاصة بحفر ابار النفط حسب الملحق (أ) من العقد,2020
Well-sense technology limited,اسكتلندا,الدمام,وكالة توزيع,قائمة,تقدم خدمات نيابة عن الموكل في مجال صيانة ابار النفط والغاز,2020
Stockholm precision tools,سويديه,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل تشغيل وتركيب ادوات ويبستوك الدوارة للحفر,2020
Stockholm precision tools,سويديه,الدمام,وكالة تجارية,قائمة,منتجات الموكل من معدات وأدوات حفر ابار النفط والغاز,2020
St electronics (info-security) pte.ltd.,سنغافوريه,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال أمن المعلومات و تشمل حلول عبر المجال تتكون من احاديات الاتجاه و الثنائيات و سلسلة DigisAFE الصمام الثنائي للبيانات و تركيب و تشغيل و تكميل سلسلة DigisAFE الصمام الثنائي للبيانات,2020
3x engineering,موناكويه,الدمام,وكالة خدمات,قائمة,"تقديم الخدمات نيابة عن الموكل في مجال إجراءات التركيب ومراقبة الجودة والتعبئة والحلول المبتكرة لأعمال إصلاح الصيانة غير المعدنية حسب العقد
",2020
Ev offshore ltd,بريطاني,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال التحليلات البصرية والتفسير الخاصة بحقول النفط,2020
Target lntervention as norway,نرويجيه,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال تطوير حلول متخصصة لأدوات الحفر الخاصة بصناعة النفط والغاز).,2020
Limited liability company scientific and production enterprise burintekh,روسيه,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال تقنية الموجه الهيدرولي في  حفر الابار والنفط والغاز وانظمة اخراج غلاف الانابيب والوصلة البينية البرمجية ولولبة الوصلات الكتفية ولقم الكريستال الالماسي PDC واللقم الالماسية واللقم الدوارة .,2020
"Saexploration, inc.",امريكي,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال جمع البيانات الزلزالية السحاحلية,2020
Borr drilling management dmcc,اماراتي,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال حفر اَبار النفط والغاز البرية والبحرية,2020
Ct specialized downhole,امريكي,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال حفر وصيانة ابار النفط والغاز,2020
Cnpc bohai drilling engineering company limted,الصين الشعبيه,الدمام,وكالة خدمات,قائمة,تقديم الخدمات نيابة عن الموكل في مجال حقل آبار النفط.,2020
Syntex engineering services ltd,بريطاني,الدمام,وكالة توزيع,قائمة,تقديم الخدمات نيابة عن الموكل في مجال فحص و صيانة معدات صناعة الزيت والغاز والطاقة والصناعة,2020
Doedijns b.v.,هولندي,الدمام,وكالة خدمات,قائمة,"تقديم الخدمات نيابة عن الموكل في مجال نظم أخذ العينات للزيت والغاز واخذ عينات السوائل والغازات في خطوط الانابيب .
",2020
