RequestID,RequestDate,Status,City,Principal_Name_Ar,Principal_Name_En,Nationality
45192,1/2/2019,قائمة,الدمام,أس كي أف يوروتريد ايه بي,SKF EUROTADE AB,سويديه
45193,1/2/2019,قائمة,الدمام,مطعم استاد الشاورما,,المملكة العربية السعودية
45194,1/2/2019,قائمة,الدمام,ماستر تك ,MASTER TECH,اماراتي
45195,1/2/2019,قائمة,الرياض,شركة لو بيتيت فيلز دو أل يوشوبارد و سي أس ايه,Le Petit-fils de L.U Chopard & CIE S.A ,سويسري
45196,1/3/2019,قائمة,الرياض,ميدنسي اس ار ال ,Medency Srl,ايطالي
45197,1/3/2019,قائمة,الرياض,نوفيرس (أيرلندا ) إل تي دي,Novaerus ( Ireland ) Ltd,ايرلندي
45198,1/3/2019,قائمة,الرياض,شركة ميقاجين إمبلانت كمباني ليتد,"MegaGen Implant Co., Ltd.",كوريه الجنوبيه
45199,1/6/2019,قائمة,الرياض,روبرتو كفالي اس بي اي ,ROBERTO CAVALLI S.P.A,ايطالي
45200,1/7/2019,قائمة,الرياض,شركة صابري انسترومنت فالفز ليمتد,SABRE INSTRUMENT VALVES LIMITED,بريطاني
45201,1/7/2019,قائمة,الرياض,فروست بايت للآيس كريم ذ.م.م,Frostbite Ice Cream L.L.C,اماراتي
45202,1/9/2019,قائمة,الرياض,كوكار ماكينا كيميا ساناي,kockar makina kimya sanayi ve ticaret a.s,تركي
45203,1/9/2019,قائمة,الرياض,شركة فطيرة الفلافل للمطاعم المحدودة,,المملكة العربية السعودية
45204,1/9/2019,قائمة,الرياض,كري,CRAY Inc,امريكي
45205,1/9/2019,قائمة,جده,بي .تي . ايقل اندوفارما,P.T. EAGLE INDO PHARMA,اندونيسي
45206,1/10/2019,قائمة,الرياض, فيمار جريدا تارم في هايفانشيك سان تيك ,Vimar Tarim ve Hayvanilik San. Tic. A.S,تركي
45207,1/10/2019,قائمة,الرياض,زيغلر بروس انك,"Zeigler Bros., Inc",امريكي
45208,1/10/2019,قائمة,الرياض,شركة جين ريتش للتكنولوجيا الحيوية,GeneReach Biotechnology Corporation,صينيه وطنيه - تايوان
45209,1/13/2019,قائمة,الرياض,ام بي ايه فيترينري ميديسنس اند اديتيفس,mpa veterinary medicines and additives ,اسباني
45210,1/13/2019,قائمة,الدمام,فينتير لا لوجستكس بي في تس ليمتد,VINTERLA LOGISTICS PVT LTD,هندي
45211,1/14/2019,قائمة,الرياض,برينلاب سيلز جي ام بي اتش ,BRAINLAB SALES GMBH,الماني
45212,1/15/2019,قائمة,الرياض,شركة مصنع الراي للصناعات الدوائية,,المملكة العربية السعودية
45213,1/15/2019,قائمة,جده,شركة ننشينج انتربرايز المحدودة,"NON-CHANGE ENTERPRISE CO., LTD",تايوانيه
45214,1/16/2019,قائمة,الرياض,ريجاس فارماسيتيسكا فابريكا,RIGAS FARMACEITISKA FABRIKA,لاتيفيا
45215,1/17/2019,قائمة,الدمام,هاير أوفرسيس الكتريك ابلينسيس كورب ال تي دي,HAIER OVERSEAS ELECTRIC APPLIANCES CORP. LTD,الصين الشعبيه
45216,1/17/2019,قائمة,الرياض,لابورتوريز كوندا اس اي,"LABORATORIES CONDA, S.A ",اسباني
45217,1/17/2019,قائمة,الرياض,مؤسسة شلال الحلى لتقديم الوجبات,,المملكة العربية السعودية
45218,1/21/2019,قائمة,الرياض,شركة جونسون اند جونسون ميديكل السعودية  المحدودة,Johnson  & Johnson Medical  Saudi Arabia Limited,المملكة العربية السعودية
45219,1/21/2019,قائمة,الرياض,بي إم جي فارما إس . أر . إل,BMG PHARMA S. R. L,ايطالي
45220,1/22/2019,قائمة,الرياض,شركة فيديزمو إل إل سي,VIDIZMO LLC.U.S. Company,امريكي
45221,1/22/2019,قائمة,الرياض,ديا ميد جي ام بي اتش ,DIAMED GMBH,سويسري
45222,1/23/2019,قائمة,الرياض,مجموعة جيتينج الشرق الاوسط م ح - ذ م م,Getinge Group Middle East FZ-LLC,اماراتي
45223,1/23/2019,قائمة,جده,بلمار ليمتد كومبني,BELMAR LTD COMPANY,اوكراني
45224,1/23/2019,قائمة,الرياض, مؤسسة كوكو ديب جوس اند جوكليت,CO CO DIP JUICE AND CHOCOLATE ,بحريني
45225,1/23/2019,قائمة,الدمام,سيتاديل كايسينغ سوليوشن ,"CITADEL CASING SOLUTIONS,LLC",امريكي
45226,1/23/2019,قائمة,جده,شركه بيرللي تاير ( سويس ),PIRELLI TYRE (SUISSE),سويسري
45227,1/24/2019,قائمة,الرياض,ار إس اندستريا إي كومرسيو دي كوسميتيكوس إي بيرفير ماريا المحدودة,RS Industria e Comercio de Cosmeticos e Perfurmaria ltda.,برازيلي
45228,1/24/2019,قائمة,الدمام, بي إتس سي كوربوريشن,PHC CORPORATION ,ياباني
45229,1/27/2019,قائمة,الدمام,بجيين ميك أب,Biguine Make up ,فرنسي
45230,1/27/2019,قائمة,جده,شركة ميد لاين ميدل إيست,Medline middle east FZE,اماراتي
45231,1/27/2019,قائمة,جده,ليكسيل,Lexel,ارجنتيني
45232,1/27/2019,قائمة,الرياض,شركة مويشي المحدودة,Moishi limited,بريطاني
45233,1/27/2019,قائمة,الدمام, إيست كوست بتروليم سيرفيس,EAST COAST PETROLEUM SERVICES,مصري
45234,1/27/2019,قائمة,الرياض,"انجينيرا واي تكنيكاس كليناكس ، اس اي ( اي تي سي ، اس اي ) ","INGENIERIA Y TECNICAS CLINICAS , S.A(ITC,S.A)",اسباني
45235,1/28/2019,قائمة,الدمام,أيه إي جي باور سولوشين جي م بي إتش,AEG POWER SOLUTIONS GMBH,الماني
45236,1/28/2019,قائمة,الدمام,شركة الكنفاني الأصلي للكنافة,,المملكة العربية السعودية
45237,1/29/2019,قائمة,الدمام,اتالماتش كيميكال اس بي ايه,ITALMATCH CHEMICALS S.P.A,ايطالي
45238,1/29/2019,قائمة,الدمام,جي بي أيه سري انجنيرنج اندكونستركشن,G.B.A SRI ENGINEERING AND CONSTRUCTION,ايطالي
45239,1/29/2019,قائمة,الرياض,شركة باركوم لأعمال إدارة وتشغيل المطاعم ذ.م.م,Barcom Management and Operation of Restaurants Activities LLC,بحريني
45240,1/30/2019,قائمة,الدمام,شركة إم أرسبيشيالتي كيميكالز ليمتد,M. R. Speciality Chemicals  PVT. LTD.,هندي
45241,1/30/2019,قائمة,الرياض,كوبيريل,COPIREL,فرنسي
45242,1/31/2019,قائمة,الرياض,شركة الامجاد للتجارة والصناعة,,المملكة العربية السعودية
45243,1/31/2019,قائمة,الرياض,سونا مود أس أي,SONVA MOD S.A,رومانيه
45244,1/31/2019,قائمة,جده,شركة معامل ال ايديال باريسين المحدودة,laboratoire L ideal parisien LTD,بولندي
45245,2/3/2019,قائمة,الرياض,ديجيتيرم كي اف تي ,Digiterm Kft. ,مجري
45246,2/4/2019,قائمة,الدمام,فيرتيكس أويل آند غاز تكنولوجي كمباني ليمتيد,"VERTECH OILD & GAS TECHNOLOGY CO., LTD",الصين الشعبيه
45247,2/4/2019,قائمة,الرياض,باكستر ايه جي ,BAXTER AG ,سويسري
45248,2/5/2019,قائمة,الرياض,بال انترناشيونال ليمتد,PAL International Ltd,بريطاني
45249,2/11/2019,قائمة,الدمام,فري اس ايه ال,FREE S.A.L,لبناني
45250,2/11/2019,قائمة,الدمام,باكر اويلفيلد سبلاي كويفوردن بي.في,BAKKER OILFIELD SUPPLY COEVORDEN BV,هولندي
45251,2/11/2019,قائمة,الرياض,إم آر جلويال (إتش كيه ) ليمتد ,MR Global (HK) Limited ,الصين الشعبيه
45252,2/11/2019,قائمة,الرياض,بي جي بي برودكتس جي إم بي إتش ,BGP PRODUCTS GMBH ,سويسري
45253,2/11/2019,قائمة,الرياض,فايزر اكسبورت بي في ,PFIZER EXPORT B.V,هولندي
45254,2/11/2019,قائمة,الدمام,بلاستي برودكتس انك,PLASTI PRODUCTS INC,امريكي
45255,2/11/2019,قائمة,جده,ناشايا بوتيك بريفت ليمتد,NASHAYA BOUTIQUE PRIVATE LIMITED,هندي
45256,2/12/2019,قائمة,الرياض,شركة يوني بليزا للصناعة والتجارة في مستحضرات التجميل المحدودة,UNIBELEZA INDÚSTRIA E COMÉRCIO DE COSMÉTICOS LTDA,برازيلي
45257,2/12/2019,قائمة,الدمام,نورديك ايرفيلتر يشن ان ايه اف ,NORDIC AIR FILTRATION A/C,دنمركيه
45258,2/12/2019,قائمة,الرياض,"تال، إنك","TOL, Inc.",امريكي
45259,2/12/2019,قائمة,الدمام,اوفسيني امبروجيو ميليس اس ار ال ,OFFICINE AMBROGIO MELESI SRL ,ايطالي
45260,2/14/2019,قائمة,الرياض,ويستفيلد ميديكال إل تي دي,Westfield Medical Ltd,بريطاني
45261,2/14/2019,قائمة,الدمام,اّي تي تي كانون إل إل سي دي /بي/إيه بي اّي دبليو سيستمس,ITT CANNON LLC D/B/A BIW CONNECTOR SYSTEMS,امريكي
45262,2/14/2019,قائمة,الرياض,فرع شركة تريند مايكرو ليمتد,,المملكة العربية السعودية
45263,2/17/2019,قائمة,جده,لابوراتوريز تورنيل اس .ايه,LABORATORIOS TORNEL S.A,مكسيكيه
45264,2/17/2019,قائمة,الرياض,شركة آربر نت وركس يو كي ليمتد,Arbor Networks Uk Ltd,بريطاني
45265,2/17/2019,قائمة,الدمام,لينوفو غلوبال تكنولوجي إتش كيه ليميتد المحدودة,LENOVO GLOBAL TECHNOLOGY HK LTD.,هونغ كونغيه
45266,2/17/2019,قائمة,جده,مامز بري بري,MUM'S PERI PERI,بريطاني
45267,2/17/2019,قائمة,الرياض,روش برودكتس العربية السعودية المحدودة,Roche Products Saudi Arabia ,المملكة العربية السعودية
45268,2/18/2019,قائمة,الرياض,شركة كلوك سبرينج كومباني,Clock Spring Company ,امريكي
45269,2/18/2019,قائمة,الرياض,كليك موبيليا ايه ,Cilek Mobilya A.S ,تركي
45270,2/19/2019,قائمة,الرياض,هانجزهو جيمنمينج كومبوسيتس المحدودة,"HANGZHOU JINMENG COMPOSITES CO.,LTD  ",الصين الشعبيه
45271,2/19/2019,قائمة,الرياض,افنان تيبا قروب,Afnanteba Group,تركي
45272,2/19/2019,قائمة,الرياض,قايدا انترناشونال قروب,Gida International Group,تركي
45273,2/19/2019,قائمة,الرياض,إن.إن.امبكس,N.N.IMPEX,هندي
45274,2/20/2019,قائمة,الدمام,تي كيه كوربيريشين,TK CORPORATION,كوريه الجنوبيه
45275,2/20/2019,قائمة,جده,مطعم اينشتاين ,Einstein Restaurant,كويتي
45276,2/20/2019,قائمة,الدمام,شركة نابورس العربية المحدودة,,المملكة العربية السعودية
45277,2/20/2019,قائمة,الدمام,ميكوبري اس بي ايه,MICOPERI SPA,ايطالي
45278,2/20/2019,قائمة,الرياض,رتاج للصناعات الدوائية,Retaj Pharmaceuticals Industries Co.,اردني
45279,2/21/2019,قائمة,الدمام,زوبا إيتس إنك ,ZOOBA EATS INC,موريشس
45280,2/24/2019,قائمة,الدمام,ماهيندرا آند ماهيندرا المحدودة,MAHINDRA & MAHINDRA LTD,هندي
45281,2/25/2019,قائمة,الرياض,شركة ماكرثي للمختبرات المحددودة للتجارة تحت اسم مارتيندال فارما ,MACARTHYS LABORATORIES LITED,بريطاني
45282,2/25/2019,قائمة,الرياض,قلوبال ارت اند كريتيف (اوفر سيز) اس دي ان . بي اتش دي.,GLOBAL ART&CREATIVE(OVERSEAS) SDN.BHD,ماليزي
45283,2/25/2019,قائمة,جده,أريون أيلاج سان (بافيت إيلاج سان),Arion ilac san(BAVET ilac san),تركي
45284,2/26/2019,قائمة,الرياض,تود إس دي إن بي إتش دي,TUD SDN BHD,ماليزي
45285,2/26/2019,قائمة,الدمام,اينوتيك جي ام بي اتش,ENOTEC Gmbh,الماني
45286,2/27/2019,قائمة,الرياض,شركة شنغهاي جراند واي تليكوم تك المحدودة,Shanghai Grandway Telecom Tech. Co. Ltd,الصين الشعبيه
45287,2/27/2019,قائمة,الرياض,انج سوميتز بيرجر جي ام بي اتش,ING SUMETZBERGER GMBH,نمساوي
45288,2/27/2019,قائمة,الرياض,ستايل رينت اس دي ان. بي اتش دي,STYLE RENT SDN. BHD,ماليزي
45289,2/27/2019,قائمة,جده,شركة ثيهاجي المحدودة,thehagee co ltd,كوريه الجنوبيه
45290,2/27/2019,قائمة,جده,شركة اي اند ال او سي انفيشنس دي بي اي . كول كاب ,"A&L O.C.INNOVATIONS,INC D.B.A  COOL CAPP",امريكي
45291,2/28/2019,قائمة,الرياض,رامكوفارم المحدودة,RAMCOPHARM Ltd,بلغاري
45292,2/28/2019,قائمة,الرياض,اوبيراتيك لاكسسوارات الجوال ,OPERATEC MOBILE ACCESSORIES,الصين الشعبيه
45293,3/2/2019,قائمة,الرياض,شركة هينان زهونجشينج انمال فارماسيتكال ليمتد,Hanan Zhongsheng Animal Pharmaceutical Co. Ltd,الصين الشعبيه
45294,3/3/2019,قائمة,الرياض,سميث ونيفيو,SMITH AND NEPHEW,اماراتي
45295,3/3/2019,قائمة,الدمام,برويل انيرجي بي تي اندونيسيا,PT PROWELL ENERGI INDONESIA,اندونيسي
45296,3/3/2019,قائمة,جده,مطعم اينشتاين ,Einstein Restaurant,كويتي
45297,3/4/2019,قائمة,الرياض,ميسوني اس . بي .ايه,MISSONI SPA,ايطالي
45298,3/4/2019,قائمة,الرياض,شركة سوسيتي دي ثيرابيوتيك ماروكن ,SOCIETE DE THERAPETIQUE MAROCAINE,مغربي
45299,3/5/2019,قائمة,الرياض,ايبيسيرف يوروب أيه بي,Episurf Europe AB,سويديه
45300,3/7/2019,قائمة,جده,شركة بربل سيرجيكال انترناشيونال ليمتيد,purple surgical international limited,بريطاني
45301,3/10/2019,قائمة,الدمام,داقاترونيكز كوربوريشن,DAGATRONICS CORPORATION,كوريه الجنوبيه
45302,3/12/2019,قائمة,الرياض,اسينو فارما ايه جي,ACINO PHARMA AG,سويسري
45303,3/12/2019,قائمة,جده,شركة دوبلا لوجستكس,Dobla Logistic Company,بلجيكي
45304,3/12/2019,قائمة,الرياض,اندرياس فهل ميديزينتيتشنيك فيرتريب جي ام بي اتش,Andreas Fahl Medizintechnik-Vertrieb GmbH,الماني
45305,3/13/2019,قائمة,جده,فيافي سوليوشن دتشلاند جي ام بي اتش,Viavi Solutions Deutschland GmbH,الماني
45306,3/13/2019,قائمة,جده,جيل فارما سيتكال كومبني ليمتد,Jeil pharmaceutical co.ltd,كوريه الجنوبيه
45307,3/13/2019,قائمة,جده,شركة روكيني,RUKINI INC,امريكي
45308,3/13/2019,قائمة,الرياض,الهملايا للادوية,THE HIMALAYA DRUG COMPANY,هندي
45309,3/13/2019,قائمة,الدمام,شركة قطوف وحلا التجارية,,المملكة العربية السعودية
45310,3/13/2019,قائمة,جده,أوكيوكلار كوزماتيكس (عطور لوريس ),Okuyucular Kozmetik (loris perfume ),تركي
45311,3/14/2019,قائمة,الرياض,كليما اوبريما ,klimaoprema,كرواتي
45312,3/14/2019,قائمة,الرياض,شركة مشاريع التدفئه والتبريد مصنع النجمه الذهبيه لأجهزة تكييف الهواء,NULL,المملكة العربية السعودية
45313,3/14/2019,قائمة,الرياض,كوريون داتا سيستمز جي ام بي اتش ,QUORION DATA SYSTEMS GMBH,الماني
45314,3/17/2019,قائمة,الرياض,نينجبو ديفيد ميديكال ديفايس كو . لميتيد,"NINGBO DAVID MEDICAL DEVICE CO.,LTD.",الصين الشعبيه
45315,3/17/2019,قائمة,الرياض,جيانج سو سبانل كو ليمتد,JIANGSU SPANL CO.,الصين الشعبيه
45316,3/17/2019,قائمة,الدمام, اينوس جي ام بي اتش  كو اند كي جي ,INOS GMBH&CO.KG ,الماني
45317,3/17/2019,قائمة,الدمام,سي تي اس نيذرلاندز بي في ,CTS NETHERLANDS BV ,هولندي
45318,3/18/2019,قائمة,الرياض,شركة سولفيدا,solveda optimum solving optimum recovery,مصري
45319,3/18/2019,مشطوبة,الرياض,"شركة دونجوان هيلي اليكترونيكس كو.،ليمتد","Dongguan Hele Electronics Co., Ltd",الصين الشعبيه
